Duration,Date,Pulse,Maxpulse,Calories
60,2020/12/01,110,110,409.1
60,2020/12/02,117,117,479
60,2020/12/03,103,103,340
60,2020/12/04,103,109,340.2666667
60,2020/12/05,99.5,117,305.7166667
60,2020/12/06,96,113,271.1666667
60,2020/12/07,92.5,113.6,236.6166667
60,2020/12/08,89,114.2,202.0666667
60,2020/12/09,85.5,114.8,167.5166667
60,2020/12/10,82,115.4,132.9666667
60,2020/12/11,78.5,116,98.41666674
60,2020/12/12,75,116.6,63.86666674
60,2020/12/13,71.5,117.2,29.31666675
60,2020/12/14,68,117.8,-5.233333243
60,2020/12/15,64.5,118.4,-39.78333324
60,2020/12/16,61,119,-74.33333323
60,2020/12/17,57.5,119.6,-108.8833332
60,2020/12/18,54,120.2,-143.4333332
60,2020/12/19,50.5,120.8,-177.9833332
60,2020/12/20,47,121.4,-212.5333332
60,2020/12/21,43.5,122,-247.0833332
60,2020/12/22,40,122.6,-281.6333332
60,2020/12/23,36.5,123.2,-316.1833332
60,2020/12/24,33,123.8,-350.7333332
60,2020/12/25,29.5,124.4,-385.2833332
60,2020/12/26,26,125,-419.8333332
60,2020/12/27,22.5,125.6,-454.3833332
60,2020/12/28,19,126.2,-488.9333331
60,2020/12/29,15.5,126.8,-523.4833331
60,2020/12/30,12,127.4,-558.0333331
60,2020/12/31,15,128,-592.5833331
